File Name,Total Time,Tempo,Song Key,Instruments,Note Count
AllThisTime.mid,316.638228,119,Unknown,"33, 44, 24, 27, 30",2004
AlmostHuman.mid,158.8041255,92,Unknown,"34, 29, 30, 31",2720
AlmostOver.mid,268.8,100,Unknown,"33, 71, 54, 29, 30",4968
Alone.mid,263.12605099999996,104,Unknown,"24, 57, 54, 49",1537
AloneIBreak.mid,261.53819999999996,78,Unknown,"33, 27, 28",3007
Altair4.mid,127.99987200000001,180,Unknown,"80, 25, 30",1998
AltarsOfSacrifice.mid,184.756302,166,Unknown,"34, 30",6597
Alteration.mid,297.11811399999993,137,Unknown,"48, 34, 29, 30",8539
AlterMann.mid,285.75,80,Unknown,"33, 30",3365
Alternative4.mid,378.779928,45,Unknown,"33, 11, 52, 89, 30",3495
AlwaysSomewhere.mid,243.670254,68,0,"35, 48, 85, 27, 29, 30",4126
AMansionInTheDarkness.mid,266.6664,135,Unknown,"36, 81, 91, 29, 30",7559
AmazingGrace.mid,102.569959,68,Unknown,27,345
Ambivalent.mid,252.5,96,Unknown,"34, 30",8910
America.mid,297.40375665,185,Unknown,"33, 24, 25, 29, 30",8895
AmericanHigh.mid,206.36452,215,Unknown,"34, 29, 30",3832
AmericanLife.mid,267.999732,90,Unknown,"24, 36, 30",4327
AmericanPsycho.mid,194.103792,120,Unknown,"33, 19, 30",3236
AmerikaTheBrutal.mid,179.99982,180,Unknown,"37, 30",5180
AMillionLightYearsAway.mid,299.3792355,145,Unknown,"81, 27, 30, 33",4577
AMillionToOne.mid,261.39123900000004,115,0,"34, 30",5520
AMinorPrelude.mid,49.333284,180,Unknown,28,257
AnAgreementCalledForever.mid,195.999804,90,Unknown,"33, 30",4936
AnarchyX.mid,92.97157725,106,Unknown,"48, 0, 30",1642
ANationOnFire.mid,327.832286,120,Unknown,"25, 27, 30",4317
ANaturalDisaster.mid,163.6362,110,Unknown,"24, 25, 34, 0",831
AncientSojourn.mid,188.383158,135,Unknown,"73, 25",1211
AndOnThe8thDay.mid,218.70924000000002,124,Unknown,"34, 29",2348
Andres.mid,175.85457599999998,130,Unknown,"34, 71, 73, 29, 30",5552
AndTheStoryEnds.mid,360.424757,141,Unknown,"26, 35, 30, 63",7303
